"Symbol","Name","LastSale","MarketCap","IPOyear","Sector","industry","Summary Quote",
"NAOV","NanoVibronix, Inc.","2.95","$13.07M","n/a","Health Care","Industrial Specialties","https://old.nasdaq.com/symbol/naov",
"NH","NantHealth, Inc.","0.93","$102.88M","2016","Technology","EDP Services","https://old.nasdaq.com/symbol/nh",
"NK","NantKwest, Inc.","1.14","$112.07M","2015","Health Care","Biotechnology: Biological Products (No Diagnostic Substances)","https://old.nasdaq.com/symbol/nk",
"NSSC","NAPCO Security Technologies, Inc.","30.185","$557.75M","n/a","Capital Goods","Telecommunications Equipment","https://old.nasdaq.com/symbol/nssc",
"NDAQ","Nasdaq, Inc.","104.6","$17.15B","n/a","Finance","Investment Bankers/Brokers/Service","https://old.nasdaq.com/symbol/ndaq",
"NTRA","Natera, Inc.","39.52","$2.77B","2015","Health Care","Medical Specialities","https://old.nasdaq.com/symbol/ntra",
"NATH","Nathan&#39;s Famous, Inc.","76.73","$324.34M","1993","Consumer Services","Restaurants","https://old.nasdaq.com/symbol/nath",
"NKSH","National Bankshares, Inc.","43.49","$282.23M","n/a","Finance","Major Banks","https://old.nasdaq.com/symbol/nksh",
"FIZZ","National Beverage Corp.","43.28","$2.02B","n/a","Consumer Non-Durables","Beverages (Production/Distribution)","https://old.nasdaq.com/symbol/fizz",
"NCMI","National CineMedia, Inc.","6.7","$530.92M","2007","Consumer Services","Advertising","https://old.nasdaq.com/symbol/ncmi",
"NESR","National Energy Services Reunited Corp.","7.75","$675.39M","2017","Energy","Oilfield Services/Equipment","https://old.nasdaq.com/symbol/nesr",
"NESRW","National Energy Services Reunited Corp.","0.43","n/a","2017","Energy","Oilfield Services/Equipment","https://old.nasdaq.com/symbol/nesrw",
"NGHC","National General Holdings Corp","20.6","$2.33B","n/a","Finance","Property-Casualty Insurers","https://old.nasdaq.com/symbol/nghc",
"NGHCN","National General Holdings Corp","24.88","$4.98M","n/a","Finance","Property-Casualty Insurers","https://old.nasdaq.com/symbol/nghcn",
"NGHCO","National General Holdings Corp","24.97","$4.12M","n/a","Finance","Property-Casualty Insurers","https://old.nasdaq.com/symbol/nghco",
"NGHCP","National General Holdings Corp","25.9865","$57.17M","n/a","Finance","Property-Casualty Insurers","https://old.nasdaq.com/symbol/nghcp",
"NGHCZ","National General Holdings Corp","25.98","n/a","n/a","Finance","Property-Casualty Insurers","https://old.nasdaq.com/symbol/nghcz",
"NHLD","National Holdings Corporation","2.715","$35.47M","n/a","Finance","Investment Bankers/Brokers/Service","https://old.nasdaq.com/symbol/nhld",
"NHLDW","National Holdings Corporation","0.1508","n/a","n/a","Finance","Investment Bankers/Brokers/Service","https://old.nasdaq.com/symbol/nhldw",
"NATI","National Instruments Corporation","42.93","$5.63B","1995","Technology","Computer Software: Prepackaged Software","https://old.nasdaq.com/symbol/nati",
"NRC","National Research Corporation","61.54","$1.53B","n/a","Health Care","Biotechnology: Commercial Physical & Biological Resarch","https://old.nasdaq.com/symbol/nrc",
"NSEC","National Security Group, Inc.","12.39","$31.37M","n/a","Finance","Life Insurance","https://old.nasdaq.com/symbol/nsec",
"EYE","National Vision Holdings, Inc.","27.33","$2.16B","2017","Health Care","Ophthalmic Goods","https://old.nasdaq.com/symbol/eye",
"NWLI","National Western Life Group, Inc.","256.8","$933.73M","n/a","Finance","Life Insurance","https://old.nasdaq.com/symbol/nwli",
"NAII","Natural Alternatives International, Inc.","8.15","$58.41M","n/a","Consumer Durables","Specialty Chemicals","https://old.nasdaq.com/symbol/naii",
"NHTC","Natural Health Trends Corp.","6.88","$74.21M","n/a","Consumer Durables","Consumer Specialties","https://old.nasdaq.com/symbol/nhtc",
"NATR","Nature&#39;s Sunshine Products, Inc.","9.65","$186.27M","n/a","Health Care","Major Pharmaceuticals","https://old.nasdaq.com/symbol/natr",
